timestamp,​0x0f16a8557df61daCf3C6Be21a41a72D2a848B854,​0x1814222fa8c8c1C1bf380e3BBFBd9De8657Da476,​0xfC1622AA82Ddb428b376896Dbd82FA663B50143f,​0xBb72B029a3e5019B504e5a943b9CC445Ad40c07d,​0x00000000B1786c9698C160D78232c78d6f6474Fe,​0x31E085Afd48a1d6e51Cc193153d625e8f0514C7F,​0x05cDe89cCfa0adA8C88D5A23caaa79Ef129E7883,​0x048F6dfB9e674C1962d447924baFFA9C8F68761C,​0x7795Db2daDEA981c311d8a5b6e37291f2eFc9441,​0x5c5b40855fc364b797c1F539F7Eb39cDC94a8a91,​0xF1Ad4BFDF8829d55eC0Ce7900EF9d122B2610673,​0xc7f5C6b526496184dc372aaad34f60b668d656F3,​0xaD457072924e5a1A1c9807942211BA5D928CeC8A,​0xc3037b2A1a9E9268025FF6d45Fe7095436446D52,​0x01e176828454368f60898F04025DCe3BcFe76AB5,​0x9175e0e8434CB6c5cc45A64f8A80F66Ec81B47BF,​0x210671bed37D221cDE1EAaacCf6fe4F843Ce1BC4,​0xAecdA292d7a976746E1660650724fB932d4BB35E,​0x06e363172F5FaB873C7efDc1ffa6900c07231a3A,​0x40A7cb7052C274Cc2E568c324B4c5D94383bec4f,​0x6427Fc587266813B6993ae4c8DE672640cB3B43F,​0x38e29135f9e10073B327083A016057720Fc2569E,​0x514fd3B8109CFB7CDe4b17e4912fd56690c23145,​0x000000000000deab340F067535869a0e5226E58a,​0xDf8eFB8a522561EA9bD8C55874Dca4536EE5c618,​0xeaa6cB80a5593E14C5A5fd38AE3D16dcB5Ef75F5,​0x2a1530C4C41db0B0b2bB646CB5Eb1A67b7158667,​0xF8341bf53e42DAc7b3E3516E0c6ef6003646DD6D,​0xF92C1ad75005E6436B4EE84e88cB23Ed8A290988,​0x2870fa7c3C615f324151a88B10f0e1455Ee292D8,​0xCbD4946Af66d9451d7AcFAFEE1234F8925747ebb,​0x2AD672FDA8a042c4c78C411bF9d4f1b320aA915a,​0x97deC872013f6B5fB443861090ad931542878126,​0xCb43027cfbbCCe4d0BA7c99Ca391415df93F2886,​0x5aB9d116a53EF41063E3EaE26A7eBe736720E9bA,​0xCE0c61aBF9866FEf5767e102Cf227F294b3459E5,​0xF6FB09a41fa6C18cEbC1e7C6F75A8664D69e4d48,​0x0DC411b17d337Af85D83eA5A3577D09132Aae866,​0x3B67DcfBF5e9D63e355E7a589D15A394e9D7d1DA,​0xB958a8f59AC6145851729F73c7A6968311d8B633,​0x229779eFD1896e1A4bDC0Acf5CE1DE11C940d102,​0x284b5Cf0188Bf98E295464532767bdC1d25DA52A,​0x92f884B7dbC58655174c49C27d3F7f7aaB946fb2,​0x26E068650ae54b6c1b149e1B926634b07e137b9F,​0xC0D6D359b05C60451b02fc87be3F5d808fa89692,​0x000000000000006F6502B7F2bbaC8C30A3f67E9a,​0xA9f4E25F89E960eA33Be7f7aD5699D0077d249CC,​0xeE7F212545b3c388f8fD176f83bDff85F3Dcea7D,​0xFcd12c9D27560a122048a43315B54872bCD59603,​0x1eb3b6cf9e6f1F7CB0eEAfCea2aBD8016628e45b,​0xA0c9aB7cb590C01D9F36D0F1eb960A544c31467e,​0x8a3960472B3D63894B68DF3f10F58F11828d6fd9,​0xA54da2581dd4828e4Aa00638Aab835119500A284,​0x81EbA9C6dE7FCc54a10dfFFa25B8b5eCb698F5aB,​0x0000000000C90bc353314b6911180ED7E06019A9,​0x0000000000eBbDaF01e3dE2506CA1e4C08D3ceBa,​0x11111254369792b2Ca5d084aB5eEA397cA8fa48B,​0x15ec2bCa7dE55d125f122cB35e54b317FDcd5c89,​0x5fBDbBE91FF8362e463470747e1a9bDf4CE8613e,​0xf8A4d4e311e1cC22877943B01a363BC1c315122d,​0x3958B4eC427F8fa24eB60F42821760e88d485f7F,​0x693c188E40F760ecF00d2946ef45260b84FBc43e,​0x48B04d2A05B6B604d8d5223Fd1984f191DED51af,​0x019c199F89b8A374e87b70597bbCA748ac084587,​0x90D1E63Fd61BeDEE4447Ca9398d0d15cdBd4dd42,​0x5Be5b30A720093C9d1B1E6CF8441280a48a495F8,​0x577D96754E7dBDDc5aa9787C139DB2e8026cf4aa,​0xDFf2AA5689FCBc7F479d8c84aC857563798436DD,​0x860bd2dba9Cd475A61E6d1b45e16c365F6D78F66,​0x3b7921f5b25fC8339269eb8adb28278d5C1F01c3,​0xb45119C2Df78E5EeE8298E1E2F6E1dFDa93D106E,​0x5100276Ff4561D05A502527De00e9515129e3cfE,​0x488127A7Fe3E6339b1D035c3726a1498B3c408Ea,​0xB76c291871b92A7c9e020b2511a3402A3bf0499d,​0xF173214C720f58E03e194085B1DB28B50aCDeeaD,​0x2233b56797e2B8C912d492044146FDb77238A374,​0x5A6fc2De011d93842411aa5f91a0a4AcD3fEfFde,​0x0a236B41aDd0073df05EaC5Fc8505Ad745C7859D,​0x2406A9333378E30B9581B8356bb81B4f9BDFF005,​0xEF422dBBF46120dE627fFb913C9AFaD44c735618,​0x0D4743269FeC611b422D0A209A460CD8cC0cC8b9,​0xB27732Feae161E1f42cfcd2b716BbF7f987FB984,​0x3Fb2F18065926DdB33E7571475c509541d15dA0e,​0x1425cFD4eD3d7709E93e00Af541eFDA9bAeab430,​0xce5702E94aD38C061e44a4a049Cc29261F992846,​0xB3ab42304497618b94f5C0DAC7d50401d4FC1b9f,​0xe9519677e6ec8D2D6BFaB92A059529feA6075d37,​0x5FfB004C2a93D6E46C09f75d1565350F92f65C89,​0x629cba67970e5FB83917BC53bB6944907DD1b61C,​0xf3704de41D39688514775FD65722d346c06042aD,​0x8Fa73b713032B10A8A21e4C64f40c935B397054C,​0x7376aF1BfBeA6eACf4D8D48A05cC84de3ABBB8bE,​0x8018280076d7fA2cAa1147e441352E8a89e1DDbe,Other
1580380051000,,,6.23,,,,,18.71,,,,,,,,,,,,,,,,,,,0.41,,,,,11.53,0.65,,,8.59,,,,,,,,8.77,,,,,,,,,,,,,65.24,,,,,,,,4.12,,5.66,,,,,,,,28.23,,,,8.01,,,,,,,,,,,,,,0.00,90.59
1580446477000,,,8.74,,,,,33.52,,,,,,,,,,,,,,,,,,,0.19,,,,,36.29,0.51,,,10.07,,,,,,,,9.92,,,,,,,,,,,,,71.33,,,,,,,,12.92,,8.91,,,,,,,,10.28,,,,,,,,,,,,,,,,,,,101.61
1580512997000,,,,,,,,42.25,,,,9.10,,,,,,,,,,,,,,,0.10,,,,,11.67,0.84,,,21.46,,,,,,,,3.95,,,,,,,,,,,,,49.47,,,,,,,,4.08,,23.10,,,,,,,,12.19,8.12,1.00,,5.57,,,,,,,,,,,,,,,260.89
1580579921000,,,,,,,1.61,42.88,,,,6.93,,,,,,,,,,,,,,,,,,1.00,,2.33,,,,15.00,,,,,,,,,,,,,,,,,,,,,31.54,,,,,,,,2.08,,3.76,,,,,,2.30,,33.35,21.84,2.00,,3.87,,,,,,,,,,,,,,,107.36
1580645575000,,,1.05,,,,,17.30,,,,,,,,,,,,,,,,,,,,,,,,10.47,3.20,,,1.01,,,,,,,,1.22,,,,,,,,,,,,,57.30,,,,,,,,3.10,,1.45,,,,,,2.96,,16.60,11.42,2.93,,5.82,,,,,,,,,,,,,,,96.35
1580711822000,,,1.26,,,,,4.78,,,,,,,,,,,,,,,,,,,1.61,,,,,0.29,,,,14.73,,,,,,,,,,,,,,,,,,,,,24.25,,,,0.03,,,,6.06,,4.52,,,,,,,,1.48,7.06,,,1.57,,,,,,,,,,,,,,,57.85
1580778615000,,,,,,,,12.29,,,,,,,,,,,,,,,,,,,1.51,,,,,19.23,,,,,,,,,,,,4.44,,,,,,,,,,,,,27.59,,,,0.30,,,,3.12,,1.53,,,,,,,,7.85,4.96,,,1.18,,,,,,,,,,,,,,,35.37
1580844182000,,,,,,,,4.00,,,,,,,,,,,,,,,,,,,2.65,,,,,,0.03,,,2.00,,,,,,,,,,,,,,,,,,,,,10.17,,,,,,,,1.32,,4.11,,,,,,,,0.45,,,,,,,,,,,,,,,,,,,28.51
1580910496000,,,,,,,,14.00,,,,,,,,,,,,,,,,,,,4.13,,,,,4.89,,,,5.00,,,,,,,,5.60,,,,,,,,,,,,,17.69,,,,,,,,5.13,,2.00,,,,,,,,,1.00,7.47,,12.09,,,,0.06,,,,,,,,,,,91.00
1580977343000,,,,,,,,,,,,,,,,,,,,,,,,,,,0.16,,,,,,,,,,,,,,,,,2.00,,,,,,,,,,,,,5.54,,,,,,,,6.34,,1.20,,,,,,,,0.66,3.35,2.18,,2.34,,,,,,,,,,,,,,0.64,18.35
1581043789000,,,2.31,,,,,4.27,,,,,,,,,,,,,,,,,,,0.42,,,0.92,,4.44,,,,,,,,,,,,,,,,,,,,,,,,,14.79,,,,,,,,5.09,,4.54,,,,,,,,,1.00,,,1.63,,,,,,,,,,,,,,,36.19
1581110121000,,,,,,,,5.18,,,,,,,,,,,,,,,,,,,3.14,,,,,5.51,0.23,,,8.03,,,,,,,,,,,,,,,,,,,,,22.51,,,,,,,,2.00,,5.14,,,,,,,,4.31,,,,,,,,,,,,,,,,,,1.37,26.82
1581177428000,,,2.02,,,,,4.00,,,,,,,,,,,,,,,,,,,,,,,,,0.23,,,,,,,,,,,1.00,,,,,,,,,,,,,12.28,,,,,,,,,,,,,,,,,,0.20,,,,,,,,,,,,,,,,,,,17.74
1581243665000,,,0.59,,,,,,,,,,0.00,,,,,,,,,,,,,,,,,1.59,,,0.10,,,6.07,,,,,,,,,,,,,,,,,,,,,16.66,,,,,,,,4.03,,,1.84,,,,,,,1.19,3.00,,,,,,,,,,,,,,,,,0.14,15.89
1581310184000,,,,,,,,,,,,,1.28,,,,,,,,,,,,,,0.91,,,,,,,,,1.00,,,,,,,,2.00,,,,,,,,,,,,,12.07,,,,,,,,,,,0.50,,,,,,,,2.00,,,4.70,,,,,,,,,,,,,,0.98,24.59
1581375300000,,,0.63,,,,,,,,,,7.32,,,,,,,,,,,,,,,,,,,,0.90,,,4.07,,,,,,,,,,,,,,,,,,,,,17.12,,,,,,,,3.37,,5.79,,,,,,,,0.50,,,,,,,,,,,,,,,,,,,34.03
1581441429000,,,,,,,,,,,,,15.15,,,,,,,,,,,,,,,,,,,,1.12,,,,,,,,,,,2.00,,,,,,,,,,,,,33.67,,,,,,3.42,,4.20,,,0.80,,,,,,,,1.00,3.00,,,,,,,,,,,,,,,,,15.13
1581508790000,,,,,,,0.05,,,,,,4.04,,,,,,,,,,,,,,,,,,,,2.74,,,1.00,,,,,,,,1.89,,,,,,,,,,,,,10.77,,,,,,,,,,,,,,,,,,,2.06,,,,,,,,,,,,,,,,,,21.63
1581574720000,,,,,,,0.01,,,,,,7.06,,,,,,,,,,,,,,6.21,,,,,,19.44,,,10.19,,,,,,,,,,,,,,,,,,,,,17.11,,,,,,,,3.00,,3.49,,,,,,,,0.04,1.00,,,,,,,,,,,,,,,,,,53.80
1581641265000,,,3.79,,,,,,,,,,21.08,,,,,,,,,,,,,,3.74,,,,,,,,,5.03,,,,,,,,,,,,,,,,,,,,,6.61,,,,,,,,1.15,,1.00,7.19,,,,,,,0.04,3.85,,,,,,,,,,,,,,,,,,48.30
1581707956000,,,0.50,,,,,,,,,,47.17,,,,,,,,,,,,,,14.20,,,,,,6.72,,,21.83,,,,,,,,8.84,,,,,,,,,,,,,68.89,,,,0.40,,,,,,4.52,10.36,,,,,,,,10.88,,,3.08,,,,,,,,,0.25,,,,,,268.50
1581774043000,,,2.16,,,,0.01,,,,,,53.33,,,,,,,,,,,,,,37.51,,,,,,0.08,,,9.94,,,,,,,,6.10,,,,,,,,,,,,,36.74,,,,,,,,,,,19.05,,,,,,,1.44,3.07,,,,,,,,,,,,0.47,,,,,0.06,89.70
1581841298000,,,0.53,,,,,,,,,,63.14,,,,,,,,,,,,,,12.15,,,,,,0.57,,,22.16,,,,,,,,2.87,,,,,,,,,,,,,72.87,,,,,,,,,,,7.75,,,,,7.70,,9.36,11.61,5.58,,9.19,,,,,,,,,2.30,,,,,,270.77
1581907086000,,,,,,,,,,,,,76.07,,,,,,,,,,,,,,4.09,,,,,,32.68,,,13.16,,,,,,,,10.28,,,,,,,,,,,,,101.38,,,,,,,,,,4.05,40.57,,,,,,,6.43,43.59,,,,,,,,,,,,0.50,,,,,0.66,354.49
1581973926000,,,,,,,,,,,,,5.85,,,,,,,,,,,,,,6.17,,,,,,0.19,,,3.05,,,,,,,,3.65,,,,,,,,,,,,,53.02,,,,,,,,,,3.94,0.87,,,,,,,2.08,6.94,11.24,,,,,,,,,,,2.10,,,5.15,,,170.44
1582040665000,,,1.00,,,,0.17,,,,,,12.50,,,,,,,,,,,,,,0.21,,,,,,3.83,,,13.21,,,,,,,,,,,,,,,,,,,,,72.69,,,,,,,,8.93,,,15.58,,,,,,,47.71,1.00,1.00,,,,,,,,,1.70,,4.03,,,15.16,,,68.17
1582106715000,,,,,,,,,,,,,17.33,,,,,,,,,,,,,,0.97,,,,,,0.53,,,2.03,,,,,,,,16.52,,,14.25,,,,,,,,,,60.52,,,,0.26,,,,1.32,,6.01,0.95,0.34,,,,,,3.44,4.74,3.99,,,,,,,,,7.10,,,,,5.09,,1.68,183.93
1582173039000,,,1.00,,,,,,,,,,28.50,,,,,,,,,,,,,,1.52,,,,,,8.18,,,15.43,,,,,,,,4.23,,,37.07,,,,,,,,,,57.78,,,,0.05,,,,,,9.75,16.60,7.28,,,,,,0.50,7.85,,,2.94,,,,,,,5.47,,,,,7.30,,1.72,170.20
1582240159000,,,1.32,,,,,,,,,,20.43,,,,,,,,,,,,,,0.87,,,,,,,,,6.93,,,,,,,,2.00,,,,,,,,,,,,,41.15,,,,0.20,,,,7.32,,5.51,6.81,0.37,,,,,,1.65,3.00,3.00,,,,,,,,,2.40,,,,,3.30,,0.43,83.38
1582306851000,,,16.54,,,,,,,,,,31.88,,,,,,,,,,,,,,0.01,,,,,,11.08,,,3.94,,,,,,,,,,,4.35,,,,,,,,,,26.06,,,,,,,,,,1.00,3.38,7.65,,,,,,4.97,1.00,1.00,,,,,,,,,2.80,,,,,6.99,,0.80,70.96
1582372667000,,,,,,,,,,,,,2.03,,,,,,,,,,,,,,3.38,,,,,,,,,1.63,,,,,,,,,,,,,,,,,,,,,11.27,,,,,,,,,,1.02,5.37,,,,,,,4.29,2.00,1.00,,,,,,,,,1.60,,,,,4.09,,,29.86
1582439543000,,,,,,,0.05,,,,,,3.81,,,,,,,,,,,,,,,,,1.02,,,,,,2.00,,,,,,,,,,,,,,,,,,,,,18.56,,,,,,,,,,3.57,1.67,,,,,,,3.03,3.00,1.00,,,,,,,,,2.00,,,,,1.16,,,48.50
1582505376000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.34,,,,,,,,2.12,,2.49,,,,,,,,2.65,2.79,,,,,,,,,,1.60,,,,,0.41,,,21.41
1582571821000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.00,,,,,,,,,,,2.69,,,,,,,,,,10.25,,,,,,,,,,1.00,3.04,3.64,,,,,,,,,,,,,,,,,2.80,,,,,1.22,,0.66,40.34
1582638796000,,,,,,,,,,,,,,,,,,,,,,,,,,,0.10,,,,,,0.72,,,,,,,,,,,1.00,,,1.50,,,,,,,,,,13.38,,,,,,,,,,,1.57,5.55,,,,,,,3.00,3.00,,,,,,,,,3.20,,,,,1.64,,1.97,45.90
1582705647000,,,,,,,,,,,,,,,,,,,,,,,,,,,1.20,,,,,,,,,1.00,,,,,,,,,,,,,,,,,,,,,12.38,,,,0.04,,,,,,7.26,1.71,,,,,,,,1.79,2.00,,,,,,,,,2.00,,,,,2.46,,2.05,40.34
1582771019000,,,,,,,,,,,,,,,,,,,,,,,,,,,0.49,,,,,,1.61,,,7.74,,,,,,,,,,,26.47,,,,,,,,,,26.87,,,,,,,,5.14,,3.66,13.69,,,,,,,30.06,1.32,,,,,,,,,,2.40,,,,,9.87,,0.97,73.61
1582837876000,,,,,,,,,,,,,8.03,,,,,,,,,,,,,,,,,,,,,,,6.49,,,,,,,,2.45,,,3.63,,,,,,,,,,31.04,,,,0.93,,,,5.00,,1.25,3.27,4.24,,,,,,5.53,1.00,2.60,,,,,,,,,5.60,,,,,1.70,,,93.96
