timestamp,​0x414a0A46C49B1cb326426Db8af667d6eCA5caD24,​0xD91d47cecE9EA3AEC67132d2B2A627495528fd6a,​0xBb72B029a3e5019B504e5a943b9CC445Ad40c07d,​0xA8965bF4F2Fc1714359D99739F50baeBE46B50CB,​0xF92C1ad75005E6436B4EE84e88cB23Ed8A290988,​0xEF422dBBF46120dE627fFb913C9AFaD44c735618,​0x34C6F95476700e4dfCdaf28b56b99bc1E24e25F7,​0x00923B9a074762B93650716333B3E1473A15048e,​0x8018280076d7fA2cAa1147e441352E8a89e1DDbe,​0x85C5c26DC2aF5546341Fc1988B9d178148b4838B,Other
1568669970000,,,,,,,,0.61,,1.20,
1568737700000,,,,,,,,0.51,,0.40,
1568803850000,,,,,,,,,,0.65,
1568871705000,,,,,,,,0.60,,1.30,
1568939678000,,,,,,,,0.91,,,
1569006694000,,,,,,,,0.61,,,
1569074199000,,,,,,,,0.30,,,0.02
1569209597000,,,,,,,,0.40,,,
1569276280000,,,,,,,,,,1.45,
1569344903000,,,,,,,,1.40,,0.50,0.44
1569412741000,,,,,,,,2.24,1.83,,0.15
1569480328000,,,,,,,,4.22,,5.95,2.47
1569548219000,,,,,,,,,,4.85,0.72
1569615424000,,,,,,,,6.32,,22.26,30.46
1569683184000,,,,,,,,1.40,9.60,12.04,23.98
1569751196000,,,,,,,,,,4.13,5.21
1569817983000,,,,,,,,1.41,,9.03,23.22
1569885879000,,,,,,,,,0.89,5.29,10.87
1569953471000,,,,,,,,1.30,9.77,7.49,5.40
1570021093000,,,,,,,,1.80,5.28,5.26,8.61
1570088581000,,,,,,,,0.70,6.18,2.25,3.72
1570156245000,,,,,,,,2.72,4.49,1.50,3.13
1570223512000,,,,,,,,,7.20,13.25,13.35
1570290984000,,,,,,,,,4.50,6.75,6.28
1570358020000,,,,,,,,0.50,12.73,12.76,8.00
1570424401000,,,,,,,,,8.20,3.00,10.05
1570492273000,,,,,,,,,4.52,4.50,8.47
1570560314000,,,,,,,,,7.92,3.00,18.48
1570628456000,,,,,,,,,3.54,3.76,2.79
1570696365000,,,,,,,,0.98,8.48,3.77,27.55
1570764407000,,,,,,,,,3.27,4.51,5.45
1570832121000,,,,,,,,1.40,4.14,5.99,4.95
1570967603000,,,,,,,,,4.22,3.75,2.27
1571036079000,,,,,,,,,4.18,3.76,5.29
1571103316000,,,,,,,,1.40,6.53,3.01,8.74
1571171084000,,,,,,,,6.52,17.90,11.43,29.50
1571239896000,,,,,,,,3.37,10.20,12.04,3.33
1571307873000,,,,,,,,,1.90,2.26,3.84
1571376291000,,,,,,,,,0.95,2.25,6.27
1571444011000,,,,,,,,,1.91,6.02,1.88
1571512073000,,,,,,,,1.10,1.97,5.44,
1571579975000,,,,,,,,,7.92,2.99,1.91
1571648150000,,,,,,,,1.10,20.70,12.48,2.35
1571716619000,,,,,,,,,13.13,6.01,2.99
1571783991000,,,,,,,,2.24,1.96,,
1571851268000,,,,,,,,2.59,17.88,2.76,6.02
1571920923000,,,,,,,,,0.95,0.75,
1571990353000,,,,,,,,,2.87,,
1572060724000,,,,,,,,19.77,35.78,8.26,7.59
1572129485000,,,,,,,,,10.67,4.35,0.00
1572198558000,,,,,,,,14.64,65.64,9.92,24.01
1572267917000,,,,,,,,16.68,64.53,22.23,15.81
1572337649000,,,,,,,,4.76,30.97,9.50,1.96
1572406531000,,,,,,,,1.29,15.57,4.01,1.74
1572476793000,,,,,,,,5.80,6.06,16.91,4.01
1572546064000,,,,,,,,,11.36,2.00,
1572615810000,,,,,,,,,9.24,9.01,0.36
1572684939000,,,,,,,,,2.01,5.99,16.15
1572754262000,,,,,,,,,0.96,4.49,
1572822749000,,,,,,,,,3.96,3.01,1.00
1572893104000,,,,,,,,1.22,10.66,5.27,0.97
1572962724000,,,,,,,,1.50,7.73,2.75,0.60
1573031855000,,,,,,,,,9.59,5.27,0.00
1573101222000,,,,,,,,,3.81,,
1573171451000,,,,,,,,,,0.75,3.50
1573240765000,,,,,,,,1.48,14.99,3.76,3.48
1573311556000,,,,,,,,,,0.95,
1573382543000,,,,,,,,,3.91,0.95,2.77
1573455245000,,,,,,,,,6.85,3.35,2.00
1573527153000,,,,,,,,2.30,12.94,5.97,9.70
1573598526000,,,,,,,,1.11,6.97,0.75,15.14
1573670409000,,,,,,,,1.15,2.94,0.75,
1573742983000,,,,,,,,,1.98,,2.42
1573814675000,,,,,,,,3.20,3.97,4.00,0.86
1573886613000,,,,,,,,,2.00,1.00,5.87
1573958177000,,,,,,,,1.82,,,
1574030120000,,,,,,,,,3.89,,
1574102523000,,,,,,,,1.33,2.92,0.75,0.99
1574175364000,,,,,,,,,18.01,6.17,20.96
1574248216000,,,,,,,,,1.86,1.00,0.63
1574319702000,,,,,,,,1.40,1.99,0.99,4.00
1574390894000,,,,,,,,,2.02,1.95,8.17
1574463158000,,,,,,,,1.44,24.94,1.60,13.09
1574534614000,,,,,,,,1.00,11.16,2.99,58.23
1574606767000,,,,,,,,,3.72,1.51,6.75
1574677937000,,,,,,,,11.39,4.68,2.25,6.76
1574753753000,,,,,,,,,4.83,3.50,5.85
1574829912000,,,,,,,,2.00,1.90,1.50,9.06
1574906610000,,,,,,,,4.44,14.97,,7.78
1574982967000,,,,,,,,2.00,7.02,1.84,7.98
1575059347000,,,,,,,,,8.17,4.83,2.55
1575136068000,,,,,,,,,,1.00,3.00
1575212493000,,,,,,,,36.12,48.32,23.58,189.31
1575288653000,,,,,,,,0.70,14.08,13.91,3.60
1575366165000,,,,,,,,,5.20,3.70,
1575442393000,,,,,,,,,6.30,4.00,1.00
1575519604000,,,,,,,,3.93,3.95,3.76,2.01
1575596839000,,,,,,,,0.54,9.07,4.51,12.10
1575673602000,,,,,,,,0.60,1.00,8.08,1.00
1575749392000,,,,,,,,0.80,3.07,2.99,12.67
1575826602000,,,,,,,,0.60,3.08,3.96,2.41
1575903384000,,,,,,,,,3.98,6.60,2.79
1575979374000,,,,,,,,3.80,12.75,0.75,8.33
1576056123000,,,,,,,,,,,0.00
1576132843000,,,,,,,,1.70,3.02,1.99,2.00
1576208669000,,,,,,,,1.42,6.96,3.76,4.46
1576288118000,,,,,,,,2.81,10.84,2.70,6.32
1576372313000,,,,,,,,,2.00,2.01,5.07
1576456679000,,,,,,,,,6.00,2.95,
1576541361000,,,,,,,,2.50,7.18,1.99,3.02
1576627001000,,,,,,,,1.52,4.09,1.00,1.01
1576713534000,,,,,,,,2.67,6.68,7.50,15.72
1576799699000,,,,,,,,2.92,3.03,21.21,54.94
1576886273000,,,,,,,,4.42,12.22,22.57,59.46
1576971438000,,,,,,,,,6.28,15.04,4.74
1577057861000,,,,,,,,1.99,32.11,17.41,30.55
1577143907000,,,,,,,,,4.87,6.70,19.96
1577229621000,,,,,,,,1.00,1.99,7.28,15.50
1577315631000,,,,,,,,,0.32,1.00,0.93
1577402327000,,,,,,,,,0.53,,8.01
1577488582000,,,,,,,,1.88,2.14,2.00,8.46
1577573599000,,,,,,,,,2.20,1.55,3.52
1577659927000,,,,,,,,,1.90,2.11,4.99
1577746179000,,,,,,,,0.80,3.93,2.74,10.66
1577832303000,,,,,,,,0.82,,5.72,1.00
1577918935000,,,,,,,,1.20,,1.80,2.69
1577997589000,,,,,,,,1.25,1.02,2.65,18.40
1578063677000,,,,,,,,,5.68,1.86,11.54
1578129566000,,,,,,,,0.60,2.45,,0.91
1578195701000,,,,,,,,,1.83,4.51,4.95
1578261907000,,,,,,,,,,,0.75
1578327837000,,,,,,,,,5.66,2.25,13.54
1578393679000,,,,,,,,,2.61,1.50,5.44
1578459841000,,,,,,,,0.58,8.89,4.45,3.03
1578526345000,,,,,,,,,,1.30,4.50
1578592894000,,,,,,,,0.40,3.66,4.49,2.72
1578658814000,,,,,,,,2.46,16.01,19.04,73.13
1578724741000,,,,,,,,,6.11,6.67,18.58
1578790822000,,,,,,,,1.40,6.10,8.26,17.42
1578857025000,,,,,,,,1.52,11.06,7.86,42.04
1578923015000,,,,,,,,1.00,0.98,5.29,4.04
1578989540000,,,,,,,,0.97,5.51,6.67,14.26
1579055596000,,,,,,,,2.80,10.93,5.27,31.60
1579122050000,,,,,0.30,,,1.60,6.06,5.45,8.84
1579188604000,,,,,0.03,,,4.24,4.46,3.00,34.13
1579254375000,,,,,,,,8.04,5.99,7.42,67.47
1579320115000,,,,,,,,,5.30,4.66,16.10
1579386588000,,,,,,,,,3.27,1.50,4.20
1579453251000,,,,,,,,12.32,5.40,8.92,35.67
1579518909000,,,,,,,,2.03,6.22,3.70,6.20
1579584998000,,,,,,,,1.38,5.45,1.50,2.91
1579650516000,,,,,,,,,2.73,3.01,6.32
1579717286000,,,,,,,,3.60,2.69,2.25,43.18
1579783170000,,,,,,,,,,1.50,1.43
1579848954000,,,,,,,,1.01,0.73,2.20,4.38
1579915579000,,,,,,,,1.62,3.43,1.50,2.66
1579982233000,,,,,,,,1.06,8.72,6.50,37.10
1580049245000,,,,,0.46,,,,,,2.00
1580114658000,,,,,,,,0.60,5.75,5.91,6.73
1580180893000,,,,,,,,1.81,8.75,5.15,28.18
1580247630000,,,,,,,,1.20,5.47,4.44,25.90
1580313366000,,,,,,,,0.61,0.91,5.89,25.14
1580380051000,,,,,,,,,2.61,0.75,3.44
1580446477000,,,,,0.22,,,2.44,2.66,9.37,19.12
1580512997000,,,,,,,,,,0.99,7.02
1580579921000,,,,,,,,0.40,1.96,1.50,4.41
1580645575000,,,,,,,,0.40,1.77,1.95,1.87
1580711822000,,,,,,,,0.41,10.21,2.25,20.95
1580778615000,,,,,,,,,5.67,2.50,4.41
1580844182000,,,,,,,,1.20,3.13,9.34,3.96
1580910496000,,,,,,,,1.23,5.08,4.36,2.80
1580977343000,,,,,,,,10.20,6.18,10.95,20.44
1581043789000,,,,,,,,8.65,6.59,14.13,60.18
1581110121000,,,,,,,,7.87,,12.47,25.62
1581177428000,,,,,,,,3.00,4.06,5.95,4.36
1581243665000,,,,,,,,1.40,9.60,4.66,2.53
1581310184000,,,,,,,,0.40,4.56,5.20,3.09
1581375300000,,,,,,,,0.60,9.49,11.38,21.71
1581441429000,,,,,,,,1.22,,2.65,1.09
1581508790000,,,,,,,,3.23,3.92,4.91,3.56
1581574720000,,,,,,,,3.60,11.60,6.92,17.61
1581641265000,,,,,,,,2.41,3.80,3.20,6.44
1581707956000,,,,,,,,2.82,10.61,1.51,32.59
1581774043000,,,,,,,,15.03,13.49,12.96,90.34
1581841298000,,,,,,,,9.83,24.40,20.01,78.23
1581907086000,,,,,,,,2.81,22.49,14.45,26.60
1581973926000,,,,,,,,,5.41,8.98,5.12
1582040665000,,,,,,,,4.65,11.46,9.75,15.42
1582106715000,,,,,,,,2.98,4.57,8.91,7.64
1582173039000,,,,,,,,3.00,8.96,1.99,10.09
1582240159000,,,,,,,,16.68,33.37,22.54,91.45
1582306851000,,,,,,,,21.24,44.70,29.01,264.52
1582372667000,,,,,,,,20.40,18.39,26.90,160.13
1582439543000,,,,,,,,,11.71,25.49,113.28
1582505376000,,,,,,,,11.05,20.88,10.45,110.82
1582571821000,,,,,,,,3.51,12.09,8.47,10.27
1582638796000,,,,,,,,3.20,6.38,9.50,38.81
1582705647000,,,,,,,,16.85,11.72,3.72,4.00
1582771019000,,,,,,,,5.76,6.90,10.89,62.40
1582837876000,,,,,,,,3.03,7.20,7.50,23.77
1582904573000,,,,,,,,17.70,23.02,10.85,213.25
1582970808000,,,,,,,,7.94,21.35,21.29,109.78
1583036689000,,,,,,5.97,,,1.04,1.95,19.20
1583103301000,,,,,,14.64,,1.59,4.89,1.55,12.52
1583168974000,,,,,,8.04,,1.21,3.62,6.51,9.06
1583235956000,,,,,,11.18,,10.21,9.83,6.81,74.96
1583302077000,,,,,,16.92,,4.07,8.30,,82.62
1583368317000,,,,,,9.89,,,12.87,,50.41
1583435384000,,,,,,73.49,,17.05,1.15,15.80,139.25
1583502285000,,,,,,39.82,,9.47,14.16,9.94,66.99
1583567810000,,,,,,31.59,,2.62,16.92,6.33,89.14
1583633541000,,,,,5.94,72.27,,12.27,21.92,17.33,111.66
1583699841000,,,,,,39.66,,2.67,6.89,5.51,12.54
1583767163000,,,,,,84.15,,18.75,21.31,5.89,160.51
1583833348000,,,,,,78.91,,31.42,47.85,21.19,138.70
1583900197000,,,,,,143.53,,12.81,29.57,18.58,173.03
1583966404000,,,,,,82.10,,15.42,18.18,4.90,114.33
1584033400000,,,,,,29.29,,15.96,,,86.48
1584100621000,,,,,,6.97,,58.98,29.89,12.94,250.16
1584168330000,,,,,,13.41,,9.29,19.15,1.76,78.85
1584234522000,,,,,10.45,23.99,,4.58,24.85,6.62,101.46
1584300469000,,,,,2.84,,,0.80,,3.25,7.03
1584367227000,,,,,9.19,2.50,,1.99,2.39,1.00,28.61
1584434720000,,,,,16.68,,,8.81,2.32,5.72,88.67
1584500082000,,,,,8.09,,,4.45,2.38,3.84,3.79
1584566455000,,,,,9.79,,,2.28,3.58,1.00,44.39
1584632903000,,,,,16.58,,,11.63,2.42,3.00,151.49
1584699859000,,,,,8.49,,,9.66,11.11,4.85,39.92
1584766483000,,,,,19.20,1.27,,8.46,6.72,5.81,38.89
1584833664000,,,,,11.06,,,0.41,1.12,6.01,19.51
1584902413000,,,,,12.64,,,1.60,1.15,2.99,6.29
1584970249000,,,,,30.20,,,11.30,1.11,3.81,97.89
1585036977000,,,,,1.14,,,,4.31,2.00,5.76
1585105600000,,,,,7.08,,,0.40,2.10,0.76,9.50
1585173391000,,,,,3.72,,,,,,0.08
1585239172000,,,,,,,,,,2.00,4.67
1585306138000,,,,,8.14,,,0.41,1.06,1.00,13.66
1585372283000,,,,,22.23,,,6.13,4.33,13.85,94.06
1585438491000,,,,,0.11,,,0.60,6.77,2.79,6.26
1585504149000,,,,,2.08,0.17,,0.60,1.06,3.74,5.56
1585571105000,,,,,12.50,0.23,,1.21,,,6.54
1585637238000,,,,,4.16,,,,4.21,0.90,54.70
1585704243000,,,,,4.34,,,,,3.69,1.00
1585770840000,,,,,2.00,,,,,0.99,2.90
1585836257000,,,,,1.70,,,,,1.99,1.00
1585903293000,,,,,10.92,,,2.81,,1.99,55.93
1585969610000,,,,,6.09,,,,,2.89,2.12
1586036191000,,,,,1.98,,,,,2.76,2.94
1586102872000,,,,,2.35,,,,,1.00,0.06
1586169028000,,,,,5.74,,,,,6.73,18.06
1586236183000,,,,,11.73,,,0.78,,2.24,17.77
1586301955000,,,,,3.62,,,0.60,,1.25,19.94
1586368858000,,,,,3.32,,,,0.91,2.26,1.67
1586434964000,,,,,,,,,1.83,1.85,3.73
1586501245000,,,21.07,,0.98,,,,,0.75,0.99
1586568529000,,,10.06,,1.79,,,,,,0.75
1586635021000,,,11.57,,,,,,,,2.29
1586701369000,,,11.43,,,1.81,,,,0.75,0.29
1586767741000,,,4.18,,,,,5.82,,3.00,17.99
1586833705000,,,2.96,,0.65,,,,,1.50,2.98
1586900049000,,,12.92,,0.35,,,,,,0.33
1586966921000,,,12.43,,1.73,,,,,,0.00
1587033174000,,,14.56,,,,,3.49,,,15.10
1587099968000,,,6.48,,,,,2.61,,,3.13
1587167698000,,,30.80,,,,,41.01,,18.07,367.85
1587234387000,,,30.74,,,,,26.81,,19.37,236.96
1587300847000,,,27.93,,,,,1.00,,3.00,26.74
1587368133000,,,20.58,,,,,0.61,,,18.88
1587434258000,,,23.76,,1.86,,,0.36,,0.75,7.18
1587501138000,,,25.35,,1.29,,,1.40,,0.90,4.99
1587568237000,,,12.11,,1.85,,,1.01,,,1.12
1587634602000,,,10.35,,1.51,,,,,,12.73
1587701744000,,,16.60,,,,,,,,0.99
1587768625000,,,4.88,,2.34,,,,,1.50,3.48
1587836062000,,,6.83,,15.38,,,7.83,,0.75,82.84
1587902337000,,,0.80,,,,,,,,9.15
1587969951000,,,13.26,,0.68,,,4.02,,0.75,54.41
1588036978000,,,,,,,,0.80,,1.35,10.82
1588104246000,,,6.09,,,,,,,,3.91
1588170340000,,,,,6.58,,,11.84,,,150.96
1588237076000,,,10.33,,3.14,,,,,,21.63
1588305064000,,,37.20,,7.06,0.71,,4.03,,,50.99
1588371539000,,,19.88,,,,,,,,2.51
1588438821000,,,6.61,,,,,,,,5.11
1588506516000,,,,,0.17,,,2.20,,1.00,23.03
1588572377000,,,0.70,,1.28,,,1.80,,2.74,9.89
1588638430000,,,8.09,,3.18,,,,,,0.05
1588705743000,,,13.63,,,,,,,,0.07
1588771981000,,,4.31,,,,,,,,4.54
1588839881000,,,,,3.94,,,,,,9.06
1588906152000,,,14.51,,8.98,,,1.77,,,36.33
1588972800000,,,14.75,,8.74,,11.22,4.27,,1.20,13.07
1589040204000,,,13.82,,0.36,,14.09,0.70,,,7.37
1589107927000,,,8.36,,,1.67,28.16,6.15,,,48.58
1589174391000,,,15.47,,0.49,,,3.59,,,1.20
1589241093000,,,3.20,,12.69,0.58,11.95,8.03,,,28.52
1589308656000,,,21.10,,0.36,,,2.20,,,39.51
1589375621000,,,11.60,,0.76,,10.29,4.60,,,20.28
1589442351000,,,23.38,,13.42,,,16.00,,,206.52
1589509055000,,,10.85,,23.59,0.76,45.67,13.51,,,70.24
1589576701000,,,46.17,,4.42,1.54,25.90,8.33,,,42.40
1589644333000,,,16.38,,9.77,,9.54,3.19,,,5.33
1589711000000,,,,,,,3.77,,,,8.75
1589778055000,,,0.00,,3.95,,7.35,,,,4.53
1589845567000,,,0.01,,17.14,1.88,30.44,11.21,,,38.03
1589913105000,,,0.01,,1.79,,17.19,8.94,,,8.80
1589980117000,,,0.02,,,,6.10,46.04,,,2.17
1590047677000,,,0.15,,1.80,,1.90,11.03,,,2.10
1590113970000,,,6.16,,0.22,,6.10,72.45,,,3.37
1590181994000,,,24.89,,,,8.54,3.71,,,13.91
1590248502000,,,12.69,,,,6.05,,,,3.95
1590316431000,,,3.01,,,,,0.73,,,3.43
1590383553000,,,15.61,,7.51,1.61,21.01,1.95,,,126.61
1590451139000,,,16.78,,1.90,,7.85,0.69,,,51.99
1590517845000,,,1.40,,7.63,0.44,63.42,1.34,,,41.62
1590584981000,,,23.60,,,,1.09,,,,6.27
1590652494000,,,8.45,,,,,0.80,,,2.41
1590719602000,,,1.05,,2.79,,14.45,1.87,,,10.02
1590786531000,,,0.03,,3.05,,8.30,2.29,,,18.07
1590853669000,,,11.48,,21.16,,83.50,9.51,,,47.66
1590919824000,,,29.11,,2.12,,4.20,1.28,,,37.64
1590987649000,,,,,2.34,,11.52,2.17,,,26.09
1591054955000,,,8.80,,14.62,1.91,47.63,4.35,,,245.29
1591122115000,,,61.48,,32.42,5.22,115.56,11.04,,,135.30
1591189759000,,,6.91,,0.77,,9.52,,,,38.91
1591256276000,,,67.56,,18.47,8.06,77.52,12.74,,,90.44
1591323776000,,,22.64,,5.52,,49.17,4.32,,,48.77
1591389945000,,,25.10,,9.98,,28.21,1.54,,,58.57
1591457899000,,,15.35,,7.12,5.29,15.91,1.56,,,38.73
1591524138000,,,31.68,,50.84,4.99,143.55,28.26,,,394.74
1591590964000,,,80.84,,113.80,13.90,441.59,51.39,,,735.53
1591658478000,,,17.61,,4.44,,32.67,0.76,,,74.86
1591725334000,,,,,19.40,3.47,53.05,3.78,,,50.66
1591793059000,,,3.18,,35.50,,189.24,13.67,,,368.32
1591859571000,,,15.24,,74.55,5.04,125.39,19.28,,,267.41
1591926628000,,,23.84,,23.44,3.74,16.49,3.90,,,160.38
1591993124000,,,42.31,,11.52,,,4.87,,,168.50
1592060020000,,,,,24.82,,,4.85,,,178.46
1592126059000,,,6.16,,12.58,,,1.97,,,48.99
1592193218000,,,10.14,,2.17,,,2.98,,,57.50
1592259061000,,,,,22.60,,,7.71,,,48.02
1592326391000,,,27.23,,,,,1.36,,,40.56
1592393573000,,,5.78,,,,,1.45,,,60.75
1592460543000,,,5.84,,,,,2.98,,,89.77
1592527754000,,,1.99,,0.20,,,,,,18.26
1592594022000,,,7.92,,,,,,,,34.31
1592661070000,,,19.66,,,,,2.03,,,51.06
1592727831000,,,6.36,,,0.40,,,,,42.35
1592794125000,,,20.38,,,,,1.52,,,255.91
1592861502000,,,7.57,,,,,5.97,,,134.46
1592927890000,,,2.36,,,,,,,,13.53
1592995513000,,,12.84,,,,,0.73,,,83.08
1593062546000,,,27.16,,,,,,,,41.42
1593128647000,,,12.70,,,,,,,,25.95
1593195376000,,,11.28,,,,,3.04,,,83.39
1593262962000,,,,,,,,,,,0.23
1593330837000,,,,,,,,,,,0.09
1593396882000,,,,,,,,0.21,,,1.01
1593464751000,,,,,,,,,,,0.23
1593531858000,,,,,,,,,,,0.06
1593599509000,,,,,,,,,,,0.01
1593666201000,,,,,,,,0.21,,,0.72
1593732971000,,,,,,,,,,,0.33
1593866326000,,,,,,,,,,,0.59
1593933211000,,,,,,,,,,,0.44
1594000010000,,,,,,,,,,,0.29
1594067228000,,,,,,,,,,,0.83
1594133831000,,,,,,,,,,,0.14
1594199176000,,,,,,,,,,,0.13
1594266589000,,,,,,,,,,,0.42
1594334149000,,,,,,,,,,,0.06
1594400599000,,,,,,,,,,,0.02
1594467342000,,,,,,,,,,,0.08
1594534363000,,,,,,,,,,,0.24
1594600559000,,,,,,,,,,,0.66
1594667176000,,,,,,,,,,,2.54
1594734577000,,,,,,,,,,,1.71
1594801444000,,,,,,,,,,,0.51
